Post ID,Schedule Priority,Days Applied,From Time,To Time,Rate Type,Rate
102-02990,1,,,,Base Rate,2
102-03890,1,,,,Base Rate,2
102-03900,1,,,,Base Rate,2
102-03910,1,,,,Base Rate,2
102-03920,1,,,,Base Rate,2
102-03930,1,,,,Base Rate,2
102-03940,1,,,,Base Rate,2
102-03950,1,,,,Base Rate,2
102-03960,1,,,,Base Rate,2
102-03970,1,,,,Base Rate,2
102-03980,1,,,,Base Rate,2
102-04010,1,,,,Base Rate,2
102-04030,1,,,,Base Rate,2
102-04040,1,,,,Base Rate,2
102-04060,1,,,,Base Rate,2
103-02870,1,,,,Base Rate,2
103-02890,1,,,,Base Rate,2
103-02910,1,,,,Base Rate,2
103-02940,1,,,,Base Rate,2
103-02950,1,,,,Base Rate,2
103-02960,1,,,,Base Rate,2
103-02970,1,,,,Base Rate,2
103-02990,1,,,,Base Rate,2
103-03010,1,,,,Base Rate,2
103-03030,1,,,,Base Rate,2
103-03060,1,,,,Base Rate,2
103-03080,1,,,,Base Rate,2
103-03100,1,,,,Base Rate,2
103-03120,1,,,,Base Rate,2
103-03140,1,,,,Base Rate,2
103-03160,1,,,,Base Rate,2
103-03180,1,,,,Base Rate,2
103-13600,1,,,,Base Rate,2
103-13620,1,,,,Base Rate,2
103-13640,1,,,,Base Rate,2
103-13660,1,,,,Base Rate,2
103-13680,1,,,,Base Rate,2
103-13700,1,,,,Base Rate,2
103-13720,1,,,,Base Rate,2
103-13740,1,,,,Base Rate,2
103-13800,1,,,,Base Rate,2
103-13820,1,,,,Base Rate,2
104-02810,1,,,,Base Rate,2
104-02830,1,,,,Base Rate,2
104-02850,1,,,,Base Rate,2
104-02870,1,,,,Base Rate,2
104-02880,1,,,,Base Rate,2
104-02890,1,,,,Base Rate,2
104-02900,1,,,,Base Rate,2
104-02910,1,,,,Base Rate,2
104-02920,1,,,,Base Rate,2
104-02930,1,,,,Base Rate,2
104-02940,1,,,,Base Rate,2
104-02950,1,,,,Base Rate,2
104-02960,1,,,,Base Rate,0.4
104-02970,1,,,,Base Rate,2
104-02980,1,,,,Base Rate,0.4
104-03040,1,,,,Base Rate,2
104-03070,1,,,,Base Rate,2
104-03090,1,,,,Base Rate,2
104-03110,1,,,,Base Rate,2
104-03130,1,,,,Base Rate,2
104-03150,1,,,,Base Rate,2
104-03170,1,,,,Base Rate,2
104-03190,1,,,,Base Rate,2
104-03910,1,,,,Base Rate,2
104-03920,1,,,,Base Rate,2
104-03950,1,,,,Base Rate,2
104-03960,1,,,,Base Rate,2
104-03970,1,,,,Base Rate,2
104-03980,1,,,,Base Rate,2
104-04010,1,,,,Base Rate,2
104-04040,1,,,,Base Rate,2
104-04060,1,,,,Base Rate,2
104-04090,1,,,,Base Rate,2
104-04110,1,,,,Base Rate,2
104-04160,1,,,,Base Rate,2
104-04190,1,,,,Base Rate,2
104-04220,1,,,,Base Rate,2
105-02860,1,,,,Base Rate,2
105-02880,1,,,,Base Rate,2
105-02900,1,,,,Base Rate,2
105-02910,1,,,,Base Rate,2
105-02920,1,,,,Base Rate,2
105-02930,1,,,,Base Rate,2
105-02940,1,,,,Base Rate,2
105-02950,1,,,,Base Rate,2
105-02970,1,,,,Base Rate,2
105-03030,1,,,,Base Rate,2
105-03040,1,,,,Base Rate,2
105-03060,1,,,,Base Rate,2
105-03080,1,,,,Base Rate,2
105-03100,1,,,,Base Rate,2
105-03910,1,,,,Base Rate,2
105-03950,1,,,,Base Rate,2
105-03970,1,,,,Base Rate,2
105-04020,1,,,,Base Rate,2
105-04040,1,,,,Base Rate,2
105-04080,1,,,,Base Rate,2
105-04100,1,,,,Base Rate,2
105-04120,1,,,,Base Rate,2
106-02810,1,,,,Base Rate,2
106-02850,1,,,,Base Rate,2
106-02870,1,,,,Base Rate,2
106-02890,1,,,,Base Rate,2
106-03010,1,,,,Base Rate,2
106-03020,1,,,,Base Rate,2
106-03030,1,,,,Base Rate,2
106-03040,1,,,,Base Rate,2
106-03050,1,,,,Base Rate,2
106-03060,1,,,,Base Rate,2
106-03080,1,,,,Base Rate,2
106-03090,1,,,,Base Rate,2
106-03130,1,,,,Base Rate,2
106-03150,1,,,,Base Rate,2
106-03190,1,,,,Base Rate,2
106-03230,1,,,,Base Rate,2
106-03250,1,,,,Base Rate,2
107-02870,1,,,,Base Rate,2
107-02890,1,,,,Base Rate,2
107-02910,1,,,,Base Rate,2
107-02920,1,,,,Base Rate,2
107-02940,1,,,,Base Rate,2
107-02950,1,,,,Base Rate,2
107-02960,1,,,,Base Rate,2
107-02970,1,,,,Base Rate,2
107-02990,1,,,,Base Rate,2
107-03010,1,,,,Base Rate,2
107-03030,1,,,,Base Rate,2
107-03040,1,,,,Base Rate,2
107-03050,1,,,,Base Rate,2
107-03060,1,,,,Base Rate,2
107-03070,1,,,,Base Rate,2
107-03080,1,,,,Base Rate,2
107-03090,1,,,,Base Rate,2
107-03100,1,,,,Base Rate,2
107-03120,1,,,,Base Rate,2
107-03140,1,,,,Base Rate,2
107-03160,1,,,,Base Rate,2
107-03180,1,,,,Base Rate,2
107-03200,1,,,,Base Rate,2
107-03220,1,,,,Base Rate,2
107-03240,1,,,,Base Rate,2
107-03260,1,,,,Base Rate,2
107-03300,1,,,,Base Rate,2
107-03340,1,,,,Base Rate,2
107-03360,1,,,,Base Rate,2
107-04010,1,,,,Base Rate,2
107-04030,1,,,,Base Rate,2
107-04040,1,,,,Base Rate,2
107-04050,1,,,,Base Rate,2
107-04060,1,,,,Base Rate,2
107-04070,1,,,,Base Rate,2
107-04090,1,,,,Base Rate,2
107-04100,1,,,,Base Rate,2
107-12970,1,,,,Base Rate,2
107-12980,1,,,,Base Rate,2
107-12990,1,,,,Base Rate,2
107-13020,1,,,,Base Rate,2
107-13030,1,,,,Base Rate,2
107-13040,1,,,,Base Rate,2
108-02860,1,,,,Base Rate,2
108-02880,1,,,,Base Rate,2
108-02900,1,,,,Base Rate,2
108-02910,1,,,,Base Rate,2
108-02920,1,,,,Base Rate,2
108-02930,1,,,,Base Rate,2
108-02940,1,,,,Base Rate,2
108-02950,1,,,,Base Rate,2
108-02960,1,,,,Base Rate,0.4
108-02970,1,,,,Base Rate,2
108-02980,1,,,,Base Rate,0.4
108-02990,1,,,,Base Rate,2
108-03030,1,,,,Base Rate,2
108-03040,1,,,,Base Rate,2
108-03050,1,,,,Base Rate,2
108-03060,1,,,,Base Rate,2
108-03070,1,,,,Base Rate,2
108-03080,1,,,,Base Rate,2
108-03090,1,,,,Base Rate,2
108-03110,1,,,,Base Rate,2
108-03120,1,,,,Base Rate,2
108-03130,1,,,,Base Rate,2
108-03140,1,,,,Base Rate,2
108-03150,1,,,,Base Rate,2
108-03170,1,,,,Base Rate,2
108-03200,1,,,,Base Rate,2
108-03270,1,,,,Base Rate,2
108-03290,1,,,,Base Rate,2
108-03310,1,,,,Base Rate,2
108-03330,1,,,,Base Rate,2
108-03890,1,,,,Base Rate,2
108-03910,1,,,,Base Rate,2
108-03930,1,,,,Base Rate,2
108-03950,1,,,,Base Rate,2
108-03970,1,,,,Base Rate,2
108-03990,1,,,,Base Rate,2
108-04010,1,,,,Base Rate,2
108-04030,1,,,,Base Rate,2
108-04040,1,,,,Base Rate,2
108-04060,1,,,,Base Rate,2
108-04070,1,,,,Base Rate,2
108-04080,1,,,,Base Rate,2
108-04090,1,,,,Base Rate,2
108-12950,1,,,,Base Rate,2
108-12960,1,,,,Base Rate,2
108-12970,1,,,,Base Rate,2
108-12990,1,,,,Base Rate,0.4
108-13010,1,,,,Base Rate,2
